population,year,Date,consomation
29.2,2012-02-29,1980,37.86421471172962
29.4,2012-03-31,1980,38.12355864811133
29.5,2012-04-30,1980,38.25323061630219
29.5,2012-05-31,1980,38.25323061630219
29.6,2012-06-30,1980,38.382902584493046
29.6,2012-07-31,1980,38.382902584493046
29.6,2012-08-31,1980,38.382902584493046
29.6,2012-09-30,1980,38.382902584493046
29.8,2012-10-31,1980,38.64224652087475
29.8,2012-11-30,1981,46.61708892200696
29.8,2012-12-31,1981,46.61708892200696
29.9,2013-01-31,1981,46.77352210630899
30.0,2013-02-28,1981,46.929955290611026
30.0,2013-03-31,1981,46.929955290611026
30.1,2013-04-30,1981,47.08638847491307
30.1,2013-05-31,1981,47.08638847491307
30.1,2013-06-30,1981,47.08638847491307
30.2,2013-07-31,1981,47.2428216592151
30.3,2013-08-31,1981,47.399254843517134
30.3,2013-09-30,1981,47.399254843517134
30.4,2013-10-31,1981,47.55568802781917
30.5,2013-11-30,1982,52.51936444885799
30.5,2013-12-31,1982,52.51936444885799
30.5,2014-01-31,1982,52.51936444885799
30.6,2014-02-28,1982,52.69155908639524
30.7,2014-03-31,1982,52.86375372393247
30.7,2014-04-30,1982,52.86375372393247
30.8,2014-05-31,1982,53.035948361469714
30.8,2014-06-30,1982,53.035948361469714
30.9,2014-07-31,1983,54.85325062034739
30.9,2014-08-31,1983,54.85325062034739
30.9,2014-09-30,1983,54.85325062034739
31.0,2014-10-31,1983,55.03076923076923
31.1,2014-11-30,1983,55.20828784119107
31.2,2014-12-31,1983,55.3858064516129
31.2,2015-01-31,1983,55.3858064516129
31.2,2015-02-28,1983,55.3858064516129
31.2,2015-03-31,1984,62.75595238095238
31.3,2015-04-30,1984,62.95709325396825
31.3,2015-05-31,1984,62.95709325396825
31.4,2015-06-30,1984,63.15823412698413
31.6,2015-07-31,1984,63.56051587301587
32.0,2015-08-31,1984,64.36507936507937
32.0,2015-09-30,1984,64.36507936507937
32.0,2015-10-31,1984,64.36507936507937
32.1,2015-11-30,1984,64.56622023809524
32.2,2015-12-31,1985,68.6465047099653
32.2,2016-01-31,1985,68.6465047099653
32.3,2016-02-29,1985,68.85969261279128
32.3,2016-03-31,1985,68.85969261279128
